entidad,plataforma,fecha,seguidores,alcance,interacciones,likes_promedio,engagement_rate
Colegio Lic. Manuel Concha,Facebook,2025-09-30,5033,25971,4164,24,16.03
Colegio Lic. Manuel Concha,Facebook,2025-10-31,3770,25662,5002,17,19.49
Colegio Lic. Manuel Concha,Facebook,2025-11-30,914,2722,516,63,18.96
Colegio Lic. Manuel Concha,Facebook,2025-12-31,1432,3282,681,88,20.75
Colegio Lic. Manuel Concha,Instagram,2025-07-31,1794,13968,2654,93,19.0
Colegio Lic. Manuel Concha,Instagram,2025-08-31,939,5164,1168,73,22.62
Colegio Lic. Manuel Concha,Instagram,2025-09-30,3498,19422,4178,51,21.51
Colegio Lic. Manuel Concha,Instagram,2025-10-31,2263,17752,2442,63,13.76
Colegio Lic. Manuel Concha,Instagram,2025-11-30,1052,3768,393,23,10.43
Colegio Lic. Manuel Concha,Instagram,2025-12-31,4160,28846,5954,63,20.64
Colegio México (Roma),Facebook,2025-07-31,1341,8149,1476,41,18.11
Colegio México (Roma),Facebook,2025-08-31,2670,5511,982,20,17.82
Colegio México (Roma),Facebook,2025-09-30,673,2176,340,87,15.62
Colegio México (Roma),Facebook,2025-10-31,3207,16140,850,32,5.27
Colegio México (Roma),Facebook,2025-11-30,4846,35790,8240,71,23.02
Colegio México (Roma),Facebook,2025-12-31,1921,9139,869,66,9.51
Colegio México (Roma),Instagram,2025-07-31,1616,9420,1932,13,20.51
Colegio México (Roma),Instagram,2025-08-31,1530,8823,788,42,8.93
Colegio México (Roma),Instagram,2025-09-30,3981,13680,3418,42,24.99
Colegio México (Roma),Instagram,2025-10-31,4102,28961,3983,94,13.75
Colegio México (Roma),Instagram,2025-11-30,803,5864,1111,36,18.95
Colegio México (Roma),Instagram,2025-12-31,3296,23323,5542,94,23.76
Colegio México (Roma),TikTok,2025-07-31,4687,15441,1696,79,10.98
Colegio México (Roma),TikTok,2025-08-31,1091,7420,636,26,8.57
Colegio México (Roma),TikTok,2025-09-30,1389,6760,1167,67,17.26
Colegio México (Roma),TikTok,2025-10-31,566,2367,467,30,19.73
Colegio México (Roma),TikTok,2025-11-30,1886,9795,1754,13,17.91
Colegio México (Roma),TikTok,2025-12-31,875,6612,550,74,8.32
Colegio México Bachillerato,Facebook,2025-07-31,4664,35593,6876,22,19.32
Colegio México Bachillerato,Facebook,2025-08-31,1800,9808,633,43,6.45
Colegio México Bachillerato,Facebook,2025-09-30,2490,19449,1885,88,9.69
Colegio México Bachillerato,Facebook,2025-10-31,3929,28516,5042,77,17.68
Colegio México Bachillerato,Facebook,2025-11-30,2949,18136,3441,58,18.97
Colegio México Bachillerato,Facebook,2025-12-31,4954,26421,5164,16,19.55
Colegio México Bachillerato,Instagram,2025-07-31,5426,27301,4742,39,17.37
Colegio México Bachillerato,Instagram,2025-08-31,3146,15033,1860,65,12.37
Colegio México Bachillerato,Instagram,2025-09-30,759,3654,671,16,18.36
Colegio México Bachillerato,Instagram,2025-10-31,4256,24102,2381,38,9.88
Colegio México Bachillerato,Instagram,2025-11-30,3626,20705,2608,91,12.6
Colegio México Bachillerato,Instagram,2025-12-31,2634,6543,1314,63,20.08
Colegio México Orizaba,Facebook,2025-07-31,1117,8904,849,31,9.54
Colegio México Orizaba,Facebook,2025-08-31,3775,28605,6739,37,23.56
Colegio México Orizaba,Facebook,2025-09-30,2659,18411,3869,39,21.01
Colegio México Orizaba,Facebook,2025-10-31,2395,12516,2966,37,23.7
Colegio México Orizaba,Facebook,2025-11-30,4079,16091,3384,27,21.03
Colegio México Orizaba,Facebook,2025-12-31,2875,19097,1970,46,10.32
Colegio México Orizaba,Instagram,2025-07-31,4373,32495,5608,34,17.26
Colegio México Orizaba,Instagram,2025-08-31,1197,7513,1513,28,20.14
Colegio México Orizaba,Instagram,2025-09-30,1195,2547,563,80,22.1
Colegio México Orizaba,Instagram,2025-10-31,3253,22714,3134,18,13.8
Colegio México Orizaba,Instagram,2025-11-30,1975,5717,424,97,7.42
Colegio México Orizaba,Instagram,2025-12-31,2847,6683,918,41,13.74
Colegio Pedro Martínez Vázquez,Facebook,2025-07-31,3307,17790,2114,10,11.88
Colegio Pedro Martínez Vázquez,Facebook,2025-08-31,603,3236,261,26,8.07
Colegio Pedro Martínez Vázquez,Facebook,2025-09-30,2746,15568,2955,59,18.98
Colegio Pedro Martínez Vázquez,Facebook,2025-10-31,2703,11552,796,50,6.89
Colegio Pedro Martínez Vázquez,Facebook,2025-11-30,4156,14950,2244,99,15.01
Colegio Pedro Martínez Vázquez,Facebook,2025-12-31,2637,8969,1487,64,16.58
Colegio Pedro Martínez Vázquez,Instagram,2025-07-31,1494,4869,628,56,12.9
Colegio Pedro Martínez Vázquez,Instagram,2025-08-31,3308,11424,797,86,6.98
Colegio Pedro Martínez Vázquez,Instagram,2025-09-30,4720,34154,5992,43,17.54
Colegio Pedro Martínez Vázquez,Instagram,2025-10-31,914,4687,965,32,20.59
Colegio Pedro Martínez Vázquez,Instagram,2025-11-30,3245,16471,4048,78,24.58
Colegio Pedro Martínez Vázquez,Instagram,2025-12-31,597,3911,197,73,5.04
Instituto Hidalguense,Facebook,2025-07-31,5163,20512,5071,49,24.72
Instituto Hidalguense,Facebook,2025-08-31,1740,7245,1402,57,19.35
Instituto Hidalguense,Facebook,2025-09-30,2043,8494,705,17,8.3
Instituto Hidalguense,Facebook,2025-10-31,4065,13978,1946,98,13.92
Instituto Hidalguense,Facebook,2025-11-30,2771,15450,1448,29,9.37
Instituto Hidalguense,Facebook,2025-12-31,3686,20259,4101,24,20.24
Instituto Hidalguense,Instagram,2025-07-31,1555,7106,1034,51,14.55
Instituto Hidalguense,Instagram,2025-08-31,4385,10295,1712,72,16.63
Instituto Hidalguense,Instagram,2025-09-30,1499,6374,854,84,13.4
Instituto Hidalguense,Instagram,2025-10-31,3995,31181,3193,24,10.24
Instituto Hidalguense,Instagram,2025-11-30,1156,2405,152,66,6.32
Instituto Hidalguense,Instagram,2025-12-31,2544,19127,1137,98,5.94
Instituto Hidalguense,TikTok,2025-07-31,1103,2284,538,52,23.56
Instituto Hidalguense,TikTok,2025-08-31,3966,14863,1856,95,12.49
Instituto Hidalguense,TikTok,2025-09-30,2113,14243,877,22,6.16
Instituto Hidalguense,TikTok,2025-10-31,5220,31218,1863,85,5.97
Instituto Hidalguense,TikTok,2025-11-30,886,5041,965,41,19.14
Instituto Hidalguense,TikTok,2025-12-31,2717,20976,4585,60,21.86
Instituto México Primaria,Facebook,2025-07-31,2908,12912,2398,80,18.57
Instituto México Primaria,Facebook,2025-08-31,2381,11463,1837,38,16.03
Instituto México Primaria,Facebook,2025-09-30,1181,5164,360,14,6.97
Instituto México Primaria,Facebook,2025-10-31,1444,5051,873,69,17.28
Instituto México Primaria,Facebook,2025-11-30,3501,8962,585,93,6.53
Instituto México Primaria,Facebook,2025-12-31,4453,18207,4124,91,22.65
Instituto México Primaria,Instagram,2025-07-31,1088,6103,695,75,11.39
Instituto México Primaria,Instagram,2025-08-31,2710,12623,2211,53,17.52
Instituto México Primaria,Instagram,2025-09-30,2039,13667,1589,11,11.63
Instituto México Primaria,Instagram,2025-10-31,2730,20406,1157,66,5.67
Instituto México Primaria,Instagram,2025-11-30,4626,14485,2354,59,16.25
Instituto México Primaria,Instagram,2025-12-31,4915,20056,5005,35,24.96
Instituto México Secundaria,Facebook,2025-07-31,2906,14778,1207,92,8.17
Instituto México Secundaria,Facebook,2025-08-31,3616,10114,2013,68,19.9
Instituto México Secundaria,Facebook,2025-09-30,3441,23743,5794,72,24.4
Instituto México Secundaria,Facebook,2025-10-31,2350,11829,1051,46,8.88
Instituto México Secundaria,Facebook,2025-11-30,4774,22170,4671,80,21.07
Instituto México Secundaria,Facebook,2025-12-31,5048,35275,2300,83,6.52
Instituto México Secundaria,Instagram,2025-07-31,5761,19580,1839,63,9.39
Instituto México Secundaria,Instagram,2025-08-31,1632,9962,633,69,6.35
Instituto México Secundaria,Instagram,2025-09-30,3284,15452,3802,41,24.61
Instituto México Secundaria,Instagram,2025-10-31,3969,28343,1779,54,6.28
Instituto México Secundaria,Instagram,2025-11-30,2096,7518,907,56,12.06
Instituto México Secundaria,Instagram,2025-12-31,3477,24380,5961,45,24.45
Instituto México Toluca,Facebook,2025-07-31,2491,13334,2841,51,21.31
Instituto México Toluca,Facebook,2025-08-31,1642,5421,1122,44,20.7
Instituto México Toluca,Facebook,2025-09-30,3224,24669,1611,97,6.53
Instituto México Toluca,Facebook,2025-10-31,4113,20699,2442,75,11.8
Instituto México Toluca,Facebook,2025-11-30,1171,6501,705,88,10.84
Instituto México Toluca,Facebook,2025-12-31,1133,5384,1269,70,23.57
Instituto México Toluca,Instagram,2025-07-31,1499,10431,2173,33,20.83
Instituto México Toluca,Instagram,2025-08-31,632,2216,412,71,18.59
Instituto México Toluca,Instagram,2025-09-30,2989,19393,2250,26,11.6
Instituto México Toluca,Instagram,2025-10-31,1908,10770,1056,89,9.81
Instituto México Toluca,Instagram,2025-11-30,2620,13925,3167,17,22.74
Instituto México Toluca,Instagram,2025-12-31,3958,21009,1208,16,5.75
Instituto Potosino,Facebook,2025-07-31,3107,6368,553,95,8.68
Instituto Potosino,Facebook,2025-08-31,1693,11946,2567,17,21.49
Instituto Potosino,Facebook,2025-09-30,575,3731,333,57,8.93
Instituto Potosino,Facebook,2025-10-31,1053,7147,875,96,12.24
Instituto Potosino,Facebook,2025-11-30,1013,3139,215,24,6.85
Instituto Potosino,Facebook,2025-12-31,2960,11428,2724,78,23.84
Instituto Potosino,Instagram,2025-07-31,1652,4681,881,25,18.82
Instituto Potosino,Instagram,2025-08-31,3596,25376,2436,42,9.6
Instituto Potosino,Instagram,2025-09-30,4687,24653,5996,57,24.32
Instituto Potosino,Instagram,2025-10-31,3066,6478,1072,35,16.55
Instituto Potosino,Instagram,2025-11-30,2016,9599,2159,21,22.49
Instituto Potosino,Instagram,2025-12-31,4025,31613,7746,23,24.5
Instituto Potosino,TikTok,2025-07-31,3476,19238,3809,13,19.8
Instituto Potosino,TikTok,2025-08-31,2647,6234,314,25,5.04
Instituto Potosino,TikTok,2025-09-30,4368,27031,4426,43,16.37
Instituto Potosino,TikTok,2025-10-31,1334,4833,610,52,12.62
Instituto Potosino,TikTok,2025-11-30,1350,3168,625,28,19.73
Instituto Potosino,TikTok,2025-12-31,2889,14788,2592,10,17.53
Instituto Queretano San Javier,Facebook,2025-07-31,613,4311,366,11,8.49
Instituto Queretano San Javier,Facebook,2025-08-31,3552,13508,1690,96,12.51
Instituto Queretano San Javier,Facebook,2025-09-30,5076,20761,5067,44,24.41
Instituto Queretano San Javier,Facebook,2025-10-31,2951,20165,4393,93,21.79
Instituto Queretano San Javier,Facebook,2025-11-30,5188,24871,2220,69,8.93
Instituto Queretano San Javier,Facebook,2025-12-31,5450,37775,4346,47,11.5
Instituto Queretano San Javier,Instagram,2025-07-31,4499,16100,3396,65,21.09
Instituto Queretano San Javier,Instagram,2025-08-31,4343,19794,1818,96,9.18
Instituto Queretano San Javier,Instagram,2025-09-30,1283,7984,1590,80,19.91
Instituto Queretano San Javier,Instagram,2025-10-31,1654,5853,933,34,15.94
Instituto Queretano San Javier,Instagram,2025-11-30,1976,5932,360,41,6.07
Instituto Queretano San Javier,Instagram,2025-12-31,3523,17235,2015,38,11.69
Instituto Sahuayense,Facebook,2025-07-31,5098,34756,8461,63,24.34
Instituto Sahuayense,Facebook,2025-08-31,1457,3059,708,50,23.14
Instituto Sahuayense,Facebook,2025-09-30,2001,12257,2368,19,19.32
Instituto Sahuayense,Facebook,2025-10-31,1224,6175,1182,58,19.14
Instituto Sahuayense,Facebook,2025-11-30,1969,4475,1018,33,22.75
Instituto Sahuayense,Facebook,2025-12-31,2966,5994,694,32,11.58
Instituto Sahuayense,Instagram,2025-07-31,2345,6524,1407,79,21.57
Instituto Sahuayense,Instagram,2025-08-31,4640,32613,1714,51,5.26
Instituto Sahuayense,Instagram,2025-09-30,1143,5026,346,40,6.88
Instituto Sahuayense,Instagram,2025-10-31,3869,30392,6169,83,20.3
Instituto Sahuayense,Instagram,2025-11-30,1825,14591,2563,49,17.57
Instituto Sahuayense,Instagram,2025-12-31,4109,19899,2121,76,10.66
Universidad Marista SLP,Facebook,2025-07-31,3585,18944,1917,20,10.12
Universidad Marista SLP,Facebook,2025-08-31,2865,13571,1619,26,11.93
Universidad Marista SLP,Facebook,2025-09-30,1752,13336,1125,60,8.44
Universidad Marista SLP,Facebook,2025-10-31,901,4536,738,97,16.27
Universidad Marista SLP,Facebook,2025-11-30,2249,15419,921,96,5.97
Universidad Marista SLP,Facebook,2025-12-31,1628,11650,1807,64,15.51
Universidad Marista SLP,Instagram,2025-07-31,1791,10802,542,77,5.02
Universidad Marista SLP,Instagram,2025-08-31,4054,27277,5974,15,21.9
Universidad Marista SLP,Instagram,2025-09-30,2767,8913,702,38,7.88
Universidad Marista SLP,Instagram,2025-10-31,3432,9777,671,47,6.86
Universidad Marista SLP,Instagram,2025-11-30,3468,15867,3726,53,23.48
Universidad Marista SLP,Instagram,2025-12-31,2782,21546,4696,73,21.8
Universidad Marista de México,Facebook,2025-07-31,2265,6854,1257,18,18.34
Universidad Marista de México,Facebook,2025-08-31,3707,17447,4069,44,23.32
Universidad Marista de México,Facebook,2025-09-30,5065,24160,2424,68,10.03
Universidad Marista de México,Facebook,2025-10-31,2333,11583,1656,13,14.3
Universidad Marista de México,Facebook,2025-11-30,3060,16124,1377,58,8.54
Universidad Marista de México,Facebook,2025-12-31,1089,6698,617,80,9.21
Universidad Marista de México,Instagram,2025-07-31,1841,9587,2351,58,24.52
Universidad Marista de México,Instagram,2025-08-31,3839,17338,3067,40,17.69
Universidad Marista de México,Instagram,2025-09-30,4166,15559,1324,56,8.51
Universidad Marista de México,Instagram,2025-10-31,2121,11343,1844,36,16.26
Universidad Marista de México,Instagram,2025-11-30,3735,26387,3127,48,11.85
Universidad Marista de México,Instagram,2025-12-31,1648,8925,2001,23,22.42
Universidad Marista de México,TikTok,2025-07-31,1483,6496,1154,60,17.76
Universidad Marista de México,TikTok,2025-08-31,4684,35615,2944,72,8.27
Universidad Marista de México,TikTok,2025-09-30,5008,30713,4522,78,14.72
Universidad Marista de México,TikTok,2025-10-31,3089,12789,1246,19,9.74
Universidad Marista de México,TikTok,2025-11-30,4728,29670,5550,57,18.71
Universidad Marista de México,TikTok,2025-12-31,656,4534,640,79,14.12
Universidad Marista de Querétaro,Facebook,2025-07-31,4681,20937,1858,42,8.87
Universidad Marista de Querétaro,Facebook,2025-08-31,3477,13284,1143,40,8.6
Universidad Marista de Querétaro,Facebook,2025-09-30,2196,13321,2835,63,21.28
Universidad Marista de Querétaro,Facebook,2025-10-31,1019,6183,718,58,11.61
Universidad Marista de Querétaro,Facebook,2025-11-30,5299,28175,5092,28,18.07
Universidad Marista de Querétaro,Facebook,2025-12-31,4922,19109,1909,39,9.99
Universidad Marista de Querétaro,Instagram,2025-07-31,1370,2896,413,98,14.26
Universidad Marista de Querétaro,Instagram,2025-08-31,3817,21083,3766,96,17.86
Universidad Marista de Querétaro,Instagram,2025-09-30,1967,5937,1364,48,22.97
Universidad Marista de Querétaro,Instagram,2025-10-31,3158,20399,1200,99,5.88
Universidad Marista de Querétaro,Instagram,2025-11-30,3490,24144,1304,64,5.4
Universidad Marista de Querétaro,Instagram,2025-12-31,4987,13269,2538,44,19.13
Pastoral Juvenil Marista México Central,Facebook,2025-07-31,1250,4200,890,75,21.19
Pastoral Juvenil Marista México Central,Facebook,2025-08-31,2100,6800,1450,82,21.32
Pastoral Juvenil Marista México Central,Facebook,2025-09-30,1850,5900,1200,68,20.34
Pastoral Juvenil Marista México Central,Facebook,2025-10-31,2400,7800,1680,91,21.54
Pastoral Juvenil Marista México Central,Facebook,2025-11-30,1950,6200,1320,77,21.29
Pastoral Juvenil Marista México Central,Facebook,2025-12-31,2800,9200,2100,95,22.83
Pastoral Juvenil Marista México Central,Instagram,2025-07-31,980,3500,720,65,20.57
Pastoral Juvenil Marista México Central,Instagram,2025-08-31,1450,4800,980,78,20.42
Pastoral Juvenil Marista México Central,Instagram,2025-09-30,1200,4100,850,72,20.73
Pastoral Juvenil Marista México Central,Instagram,2025-10-31,1680,5500,1150,85,20.91
Pastoral Juvenil Marista México Central,Instagram,2025-11-30,1320,4400,920,69,20.91
Pastoral Juvenil Marista México Central,Instagram,2025-12-31,1950,6500,1380,88,21.23
Maristas México Occidental,Facebook,2025-07-31,3200,10500,2250,85,21.43
Maristas México Occidental,Facebook,2025-08-31,4100,13800,2900,92,21.01
Maristas México Occidental,Facebook,2025-09-30,3750,12200,2600,78,21.31
Maristas México Occidental,Facebook,2025-10-31,4500,15200,3200,95,21.05
Maristas México Occidental,Facebook,2025-11-30,3950,13100,2780,83,21.22
Maristas México Occidental,Facebook,2025-12-31,5200,17800,3800,98,21.35
Maristas México Occidental,Instagram,2025-07-31,2850,9200,1950,88,21.20
Maristas México Occidental,Instagram,2025-08-31,3650,11800,2500,91,21.19
Maristas México Occidental,Instagram,2025-09-30,3350,10800,2280,79,21.11
Maristas México Occidental,Instagram,2025-10-31,3950,12800,2720,94,21.25
Maristas México Occidental,Instagram,2025-11-30,3550,11500,2440,82,21.22
Maristas México Occidental,Instagram,2025-12-31,4450,14500,3100,96,21.38
Colegio Montejo,Facebook,2025-07-31,1800,5800,1240,72,21.38
Colegio Montejo,Facebook,2025-08-31,2400,7800,1680,85,21.54
Colegio Montejo,Facebook,2025-09-30,2100,6800,1460,78,21.47
Colegio Montejo,Facebook,2025-10-31,2700,8900,1920,91,21.57
Colegio Montejo,Facebook,2025-11-30,2250,7300,1570,83,21.51
Colegio Montejo,Facebook,2025-12-31,3100,10200,2200,95,21.57
Colegio Montejo,Instagram,2025-07-31,1450,4600,980,68,21.30
Colegio Montejo,Instagram,2025-08-31,1950,6200,1320,81,21.29
Colegio Montejo,Instagram,2025-09-30,1680,5300,1130,74,21.32
Colegio Montejo,Instagram,2025-10-31,2200,7100,1520,88,21.41
Colegio Montejo,Instagram,2025-11-30,1850,5900,1260,79,21.36
Colegio Montejo,Instagram,2025-12-31,2550,8300,1780,92,21.45
Universidad Marista de Guadalajara,Facebook,2025-07-31,4200,14200,3050,88,21.48
Universidad Marista de Guadalajara,Facebook,2025-08-31,5500,18800,4050,95,21.54
Universidad Marista de Guadalajara,Facebook,2025-09-30,4850,16500,3550,82,21.52
Universidad Marista de Guadalajara,Facebook,2025-10-31,6200,21200,4550,98,21.46
Universidad Marista de Guadalajara,Facebook,2025-11-30,5250,17900,3850,89,21.51
Universidad Marista de Guadalajara,Facebook,2025-12-31,7100,24500,5250,99,21.43
Universidad Marista de Guadalajara,Instagram,2025-07-31,3800,12800,2750,85,21.48
Universidad Marista de Guadalajara,Instagram,2025-08-31,4950,16800,3600,92,21.43
Universidad Marista de Guadalajara,Instagram,2025-09-30,4350,14800,3180,79,21.49
Universidad Marista de Guadalajara,Instagram,2025-10-31,5650,19300,4150,96,21.50
Universidad Marista de Guadalajara,Instagram,2025-11-30,4750,16200,3480,87,21.48
Universidad Marista de Guadalajara,Instagram,2025-12-31,6450,22100,4750,97,21.49
Laicado Marista Y Convocacion Marista,Facebook,2025-07-31,950,3100,650,58,20.97
Laicado Marista Y Convocacion Marista,Facebook,2025-08-31,1250,4100,860,65,20.98
Laicado Marista Y Convocacion Marista,Facebook,2025-09-30,1100,3600,750,61,20.83
Laicado Marista Y Convocacion Marista,Facebook,2025-10-31,1400,4600,960,68,20.87
Laicado Marista Y Convocacion Marista,Facebook,2025-11-30,1180,3850,800,63,20.78
Laicado Marista Y Convocacion Marista,Facebook,2025-12-31,1650,5400,1130,72,20.93
Laicado Marista Y Convocacion Marista,Instagram,2025-07-31,780,2500,520,55,20.80
Laicado Marista Y Convocacion Marista,Instagram,2025-08-31,1020,3300,690,62,20.91
Laicado Marista Y Convocacion Marista,Instagram,2025-09-30,890,2900,600,58,20.69
Laicado Marista Y Convocacion Marista,Instagram,2025-10-31,1150,3750,780,65,20.80
Laicado Marista Y Convocacion Marista,Instagram,2025-11-30,970,3150,650,59,20.63
Laicado Marista Y Convocacion Marista,Instagram,2025-12-31,1350,4400,920,68,20.91
